Estadio Cementos Progreso,"Guatemala City, Guatemala",3-Nov-16,https://www.metallica.com/events/event-25202.html
Hipódromo De Los Andes,"Bogotá, Colombia",1-Nov-16,https://www.metallica.com/events/event-25201.html
Parque Bicentenario,"Quito, Ecuador",29-Oct-16,https://www.metallica.com/events/event-25200.html
Coliseo De Puerto Rico,"San Juan, Puerto Rico",26-Oct-16,https://www.metallica.com/events/event-25199.html
Shoreline Amphitheater,"Mountain View, California, United States",23-Oct-16,https://www.metallica.com/events/event-25103.html
Shoreline Amphitheater,"Mountain View, California, United States",22-Oct-16,https://www.metallica.com/events/event-25102.html
Nbc Studio 6-B,"New York, New York, United States",29-Sep-16,https://www.metallica.com/events/event-25614.html
Webster Hall,"New York, New York, United States",27-Sep-16,https://www.metallica.com/events/event-26050.html
Siriusxm Studios,"New York, New York, United States",26-Sep-16,https://www.metallica.com/events/event-26046.html
Great Lawn At Central Park,"New York, New York, United States",24-Sep-16,https://www.metallica.com/events/event-23541.html
U.S. Bank Stadium,"Minneapolis, Minnesota, United States",20-Aug-16,https://www.metallica.com/events/event-18991.html
Rasputin Music,"Berkeley, California, United States",16-Apr-16,https://www.metallica.com/events/event-19169.html
"Cbs Radio'S ""The Night Before"" At At&T Park","San Francisco, California, United States",6-Feb-16,https://www.metallica.com/events/event-13360.html
Rock In Rio,"Rio De Janeiro, Brazil",19-Sep-15,https://www.metallica.com/events/event-10935.html
Centre Videotron,"Quebec City, Quebec, Canada",16-Sep-15,https://www.metallica.com/events/event-10934.html
Colisee Pepsi,"Quebec City, Quebec, Canada",14-Sep-15,https://www.metallica.com/events/event-10933.html
Bramham Park,"Leeds, England",30-Aug-15,https://www.metallica.com/events/event-12490.html
Richfield Avenue,"Reading, England",29-Aug-15,https://www.metallica.com/events/event-12489.html
Olimpiyskiy Arena,"Moscow, Russia",27-Aug-15,https://www.metallica.com/events/event-10932.html
Skk Arena,"St. Petersburg, Russia",25-Aug-15,https://www.metallica.com/events/event-10931.html
Ullevi Stadium,"Gothenburg, Sweden",22-Aug-15,https://www.metallica.com/events/event-10930.html
Bergenhus Fortress,"Bergen, Norway",20-Aug-15,https://www.metallica.com/events/event-10929.html
Grant Park,"Chicago, Illinois, United States",1-Aug-15,https://www.metallica.com/events/event-10928.html
Circuit Of The Americas,"Austin, Texas, United States",6-Jun-15,https://www.metallica.com/events/event-10927.html
Donauinsel Wien,"Vienna, Austria",4-Jun-15,https://www.metallica.com/events/event-10926.html
Assago Arena,"Milan, Italy",2-Jun-15,https://www.metallica.com/events/event-10925.html
Olympiapark München,"Munich, Germany",31-May-15,https://www.metallica.com/events/event-10924.html
Veltins Arena,"Gelsenkirchen, Germany",29-May-15,https://www.metallica.com/events/event-10923.html
Mgm Resorts Festival Grounds,"Las Vegas, Nevada, United States",9-May-15,https://www.metallica.com/events/event-10922.html
Pier 48,"San Francisco, California, United States",9-Feb-15,https://www.metallica.com/events/event-10921.html
National Mall,"Washington, D.C., United States",11-Nov-14,https://www.metallica.com/events/event-12498.html
Anaheim Convention Center,"Anaheim, California, United States",8-Nov-14,https://www.metallica.com/events/event-10920.html
Cbs Television City,"Los Angeles, California, United States",7-Nov-14,https://www.metallica.com/events/event-10919.html
Parc Jean-Drapeau,"Montreal, Quebec, Canada",9-Aug-14,https://www.metallica.com/events/event-10918.html
Itu Stadium,"Istanbul, Turkey",13-Jul-14,https://www.metallica.com/events/event-10917.html
National Stadium,"Warsaw, Poland",11-Jul-14,https://www.metallica.com/events/event-10916.html
Krieau Open Air,"Vienna, Austria",9-Jul-14,https://www.metallica.com/events/event-10915.html
Incheba Open Air,"Prague, Czech Republic",8-Jul-14,https://www.metallica.com/events/event-10914.html
Knebworth House,"Stevenage, England",6-Jul-14,https://www.metallica.com/events/event-12488.html
St. Jakob-Park,"Basel, Switzerland",4-Jul-14,https://www.metallica.com/events/event-10913.html
Werchterpark,"Werchter, Belgium",3-Jul-14,https://www.metallica.com/events/event-10912.html
Ippodromo Capannelle,"Rome, Italy",1-Jul-14,https://www.metallica.com/events/event-10911.html
Worthy Farm,"Pilton, England",28-Jun-14,https://www.metallica.com/events/event-12487.html
Megaland,"Landgraaf, Netherlands",9-Jun-14,https://www.metallica.com/events/event-10910.html
Nürburgring,"Nürburg, Germany",8-Jun-14,https://www.metallica.com/events/event-10909.html
Zeppelinfeld,"Nuremberg, Germany",6-Jun-14,https://www.metallica.com/events/event-10908.html
Imtech Arena,"Hamburg, Germany",4-Jun-14,https://www.metallica.com/events/event-10907.html
Horsens Gaol,"Horsens, Denmark",3-Jun-14,https://www.metallica.com/events/event-10906.html
Valle Hovin,"Oslo, Norway",1-Jun-14,https://www.metallica.com/events/event-10905.html
Gardet Royal Park,"Stockholm, Sweden",30-May-14,https://www.metallica.com/events/event-10904.html
Hietaniemi Beach,"Helsinki, Finland",28-May-14,https://www.metallica.com/events/event-10903.html
Club Nokia,"Los Angeles, California, United States",12-May-14,https://www.metallica.com/events/event-10902.html
Estadio Ciudad De La Plata,"Buenos Aires, Argentina",30-Mar-14,https://www.metallica.com/events/event-10901.html
Estadio Ciudad De La Plata,"Buenos Aires, Argentina",29-Mar-14,https://www.metallica.com/events/event-10900.html
Estadio Monumental,"Santiago, Chile",27-Mar-14,https://www.metallica.com/events/event-10899.html
Jockey Club,"Asunción, Paraguay",24-Mar-14,https://www.metallica.com/events/event-10898.html
Estádio Do Morumbi,"São Paulo, Brazil",22-Mar-14,https://www.metallica.com/events/event-10897.html
