Best Performance by an Actor in a Motion Picture - Musical or Comedy,Danny Kaye,1953
Best Performance by an Actor in a Motion Picture - Musical or Comedy,Clifton Webb,1953
Best Performance by an Actress in a Supporting Role in any Motion Picture,Katy Jurado,1953
Best Performance by an Actress in a Supporting Role in any Motion Picture,Mildred Dunnock,1953
Best Performance by an Actress in a Supporting Role in any Motion Picture,Gloria Grahame,1953
Best Performance by an Actor in a Supporting Role in any Motion Picture,Millard Mitchell,1953
Best Performance by an Actor in a Supporting Role in any Motion Picture,Kurt Kasznar,1953
Best Performance by an Actor in a Supporting Role in any Motion Picture,Gilbert Roland,1953
Best Director - Motion Picture,Cecil B. deMille,1953
Best Director - Motion Picture,Richard Fleischer,1953
Best Director - Motion Picture,John Ford,1953
Best Screenplay - Motion Picture,Michael Wilson,1953
Best Screenplay - Motion Picture,Clarence Greene,1953
Best Screenplay - Motion Picture,Carl Foreman,1953
Best Original Score - Motion Picture,Dimitri Tiomkin,1953
Best Original Score - Motion Picture,Miklos Rozsa,1953
Best Original Score - Motion Picture,Victor Young,1953
Cecil B. deMille Award,Walt Disney,1953
Cecil B. deMille Award,Stanley Kramer,1953
Cecil B. deMille Award,Adolph Zukor,1953
Promoting International Understanding,George Seaton,1953
Promoting International Understanding,Robert Parrish,1953
Promoting International Understanding,Richard Thorpe,1953
Special Achievement Award,Francis Kee Teller,1953
New Star Of The Year - Actress,Colette Marchand,1953
New Star Of The Year - Actress,Rita Gam,1953
New Star Of The Year - Actress,Katy Jurado,1953
New Star Of The Year - Actor,Richard Burton,1953
New Star Of The Year - Actor,Aldo Ray,1953
New Star Of The Year - Actor,Robert Wagner,1953
Juvenile Performance,Brandon de Wilde,1953
Juvenile Performance,Francis Kee Teller,1953
Juvenile Performance,George Winslow,1953
Actress In A Leading Role - Musical Or Comedy,Susan Hayward,1953
Actress In A Leading Role - Musical Or Comedy,Katharine Hepburn,1953
Actress In A Leading Role - Musical Or Comedy,Ginger Rogers,1953
Henrietta Award (World Film Favorites),Susan Hayward,1953
Henrietta Award (World Film Favorites),John Wayne,1953
Cinematography - Color,George Barnes,1953
Cinematography - Black And White,Floyd Crosby,1953
Cinematography - Black And White,Hal Mohr,1953
Cinematography - Black And White,Sam Leavitt,1953
Best Motion Picture - Drama,"Robe, The",1954
Best Performance by an Actress in a Motion Picture - Drama,Audrey Hepburn,1954
Best Performance by an Actor in a Motion Picture - Drama,Spencer Tracy,1954
Best Performance by an Actor in a Motion Picture - Musical or Comedy,David Niven,1954
Best Performance by an Actress in a Supporting Role in any Motion Picture,Grace Kelly,1954
Best Performance by an Actor in a Supporting Role in any Motion Picture,Frank Sinatra,1954
Best Director - Motion Picture,Fred Zinnemann,1954
Best Screenplay - Motion Picture,Helen Deutsch,1954
Cecil B. deMille Award,Darryl F. Zanuck,1954
Promoting International Understanding,George Seaton,1954
Special Achievement Award,Walt Disney,1954
New Star Of The Year - Actress,Pat Crowley,1954
New Star Of The Year - Actress,Pat Crowley,1954
New Star Of The Year - Actress,Bella Darvi,1954
New Star Of The Year - Actress,Bella Darvi,1954
New Star Of The Year - Actress,Barbara Rush,1954
New Star Of The Year - Actress,Barbara Rush,1954
New Star Of The Year - Actress,Bella Darvi,1954
New Star Of The Year - Actor,Richard Egan,1954
New Star Of The Year - Actor,Richard Egan,1954
New Star Of The Year - Actor,Steve Forrest,1954
New Star Of The Year - Actor,Hugh O'Brian,1954
New Star Of The Year - Actor,Steve Forrest,1954
Actress In A Leading Role - Musical Or Comedy,Ethel Merman,1954
Henrietta Award (World Film Favorites),Alan Ladd,1954
Henrietta Award (World Film Favorites),Marilyn Monroe,1954
Henrietta Award (World Film Favorites),Robert Taylor,1954
Documentary,"Queen Is Crowned, A",1954
Best Motion Picture - Drama,On the Waterfront,1955
Best Motion Picture - Musical or Comedy,Carmen Jones,1955
Best Performance by an Actress in a Motion Picture - Drama,Grace Kelly,1955
Best Performance by an Actor in a Motion Picture - Drama,Marlon Brando,1955
Best Performance by an Actor in a Motion Picture - Musical or Comedy,James Mason,1955
Best Performance by an Actress in a Supporting Role in any Motion Picture,Jan Sterling,1955
Best Performance by an Actor in a Supporting Role in any Motion Picture,Edmond O'Brien,1955
Best Director - Motion Picture,Elia Kazan,1955
Best Screenplay - Motion Picture,Ernest Lehman,1955
Best Motion Picture - Foreign Language,Genevieve,1955
Best Motion Picture - Foreign Language,The Lady Of The Camelias,1955
Best Motion Picture - Foreign Language,No Way Back,1955
Best Motion Picture - Foreign Language,Twenty-Four Eyes,1955
Cecil B. deMille Award,Jean Hersholt,1955
Promoting International Understanding,Edward Dmytryk,1955
New Star Of The Year - Actress,Shirley MacLaine,1955
New Star Of The Year - Actress,Kim Novak,1955
New Star Of The Year - Actress,Karen Sharpe,1955
New Star Of The Year - Actor,Joe Adams,1955
New Star Of The Year - Actor,George Nader,1955
New Star Of The Year - Actor,Jeff Richards,1955
Actress In A Leading Role - Musical Or Comedy,Judy Garland,1955
Henrietta Award (World Film Favorites),Audrey Hepburn,1955
Henrietta Award (World Film Favorites),Gregory Peck,1955
Henrietta Award (World Film Favorites),June Allyson,1955
